,TCE(P),TCE(Q),TCE(V),ECE,ACE,MCE,MCE(Q)
0.5,7.2833,10.8833,3.4500,0.0138,0.0150,0.1020,0.0528
0.4,7.5500,16.2167,8.5667,0.0137,0.0191,0.1632,0.0365
0.3,8.1667,12.8833,2.8167,0.0125,0.0134,0.1042,0.0313
0.2,15.9500,22.2167,15.9167,0.0173,0.0153,0.6238,0.0370
0.1,11.9833,16.7833,15.2333,0.0096,0.0114,0.4361,0.0218
0.08,15.7000,18.5167,23.1500,0.0087,0.0107,0.0700,0.0234
0.06,11.5333,17.5500,13.9833,0.0035,0.0109,0.3064,0.0195
0.04,18.5000,15.6667,20.5833,0.0046,0.0074,0.2240,0.0177
0.02,13.1167,11.5500,20.7667,0.0052,0.0059,0.0052,0.0131
