,TCE(P),TCE(Q),TCE(V),ECE,ACE,MCE,MCE(Q)
500,7.7333,8.7000,88.0667,0.1179,0.1389,0.8767,0.4811
100,45.7667,32.2833,88.0667,0.0993,0.0992,0.8767,0.2264
50,66.1833,56.7667,88.0667,0.0971,0.0964,0.2426,0.1827
10,96.1000,96.4667,88.0667,0.0963,0.0951,0.1466,0.1314
5,96.6000,96.7833,88.0667,0.0963,0.0951,0.1099,0.1092
