,TCE(P),TCE(Q),TCE(V),ECE,ACE,MCE,MCE(Q)
0.5,96.1000,96.4667,88.0667,0.0963,0.0951,0.1466,0.1314
0.4,96.5667,96.1833,82.7500,0.0872,0.0869,0.1485,0.1262
0.3,94.9500,94.6667,88.5833,0.0846,0.0846,0.2146,0.1247
0.2,95.8833,95.5833,96.4333,0.0868,0.0868,0.6238,0.1500
0.1,32.3500,26.7000,42.5667,0.0151,0.0173,0.4361,0.0502
0.08,42.3167,38.7833,45.8333,0.0164,0.0186,0.3259,0.0477
0.06,47.0833,39.9500,65.9500,0.0167,0.0188,0.3064,0.0440
0.04,56.5833,42.4333,72.4500,0.0142,0.0142,0.2240,0.0337
0.02,99.9167,96.9000,100.0000,0.0181,0.0181,0.0181,0.0382
