,TCE(P),TCE(Q),TCE(V),ECE,ACE,MCE,MCE(Q)
6,5.5000,6.6667,88.0667,0.1417,0.1847,0.8767,0.6111
30,9.1000,8.7000,88.0667,0.1179,0.1389,0.8767,0.4811
60,14.3833,32.2833,88.0667,0.0993,0.0992,0.8767,0.2264
300,79.6667,56.7667,88.0667,0.0971,0.0964,0.2426,0.1827
600,85.6500,96.4667,88.0667,0.0963,0.0951,0.1466,0.1314
3000,88.0667,96.7833,88.0667,0.0963,0.0951,0.1099,0.1092
6000,88.0667,93.9500,88.0667,0.0951,0.0951,0.0951,0.0951
