,TCE(P),TCE(Q),TCE(V),ECE,ACE,MCE,MCE(Q)
0.0,96.1000,96.4667,88.0667,0.0963,0.0951,0.1466,0.1314
0.01,96.4000,96.4000,89.6167,0.0962,0.0951,0.1511,0.1332
0.05,94.7667,95.5333,89.1667,0.0962,0.0951,0.1496,0.1420
0.1,93.8500,95.9667,86.5833,0.0967,0.0951,0.1852,0.1412
0.5,86.6667,83.9000,81.2667,0.1071,0.1055,0.2513,0.2203
1.0,90.3167,88.8500,91.2167,0.1713,0.1698,0.4577,0.3648
