,TCE(P),TCE(Q),TCE(V),ECE,ACE,MCE,MCE(Q)
0.0,7.2833,10.8833,3.4500,0.0138,0.0150,0.1020,0.0528
0.01,8.7167,9.6167,4.8000,0.0113,0.0125,0.0923,0.0527
0.05,12.8833,11.9000,7.7667,0.0136,0.0156,0.1198,0.0589
0.1,8.3500,13.0500,3.5500,0.0109,0.0164,0.1143,0.0587
0.5,61.9500,65.0500,56.1000,0.0615,0.0618,0.3601,0.1498
1.0,86.1833,84.1000,88.3833,0.1470,0.1478,0.3364,0.2621
