,TCE(P),TCE(Q),TCE(V),ECE,ACE,MCE,MCE(Q)
6,5.8500,5.1000,3.4500,0.1143,0.1651,0.8767,0.6392
30,3.0000,4.2000,3.4500,0.0839,0.1142,0.8767,0.5016
60,2.3667,4.3000,3.4500,0.0382,0.0457,0.8767,0.1705
300,3.7667,3.5667,3.4500,0.0271,0.0370,0.2533,0.1189
600,3.3833,10.8833,3.4500,0.0138,0.0150,0.1020,0.0528
3000,3.4500,38.7500,3.4500,0.0116,0.0086,0.1020,0.0236
6000,3.4500,92.2000,3.4500,0.0021,0.0021,0.0021,0.0021
