,TCE(P),TCE(Q),ECE,ACE,MCE,MCE(Q)
LR,40.1572,44.4604,0.0044,0.0034,0.3134,0.0214
SVM,59.8332,39.7738,0.0043,0.0057,0.5402,0.0239
RF,99.6550,99.6550,0.0234,0.0241,0.5980,0.1189
GB,71.1233,79.8543,0.0086,0.0107,0.2399,0.0436
MLP,49.8083,39.9367,0.0090,0.0018,0.4344,0.0076
