,TCE(P),TCE(Q),ECE,ACE,MCE,MCE(Q)
LR,23.6665,23.0968,0.0215,0.0223,0.7312,0.0767
SVM,10.2020,21.8540,0.0229,0.0163,0.1666,0.0870
RF,29.1041,20.1450,0.0265,0.0214,0.2084,0.1328
GB,23.2004,19.8861,0.0154,0.0235,0.2101,0.0902
MLP,58.0528,58.4671,0.0352,0.0328,0.5049,0.1384
