,TCE(P),TCE(Q),ECE,ACE,MCE,MCE(Q)
LR,7.2568,13.5566,0.0140,0.0252,0.0946,0.0851
SVM,47.2089,38.3573,0.0436,0.0473,0.8302,0.1170
RF,33.8915,29.1866,0.0127,0.0177,0.0670,0.0547
GB,4.8644,12.2010,0.0182,0.0160,0.2965,0.0418
MLP,3.8278,10.4466,0.0167,0.0122,0.0806,0.0540
