,TCE(P),TCE(Q),ECE,ACE,MCE,MCE(Q)
LR,11.6251,27.1649,0.0098,0.0037,0.2251,0.0135
SVM,4.8043,10.6762,0.0042,0.0028,0.6608,0.0157
RF,49.6441,38.3155,0.0451,0.0433,0.5432,0.2271
GB,13.0486,11.2693,0.0181,0.0168,0.5639,0.1122
MLP,4.6856,12.1590,0.0037,0.0034,0.5992,0.0306
