,TCE(P),TCE(Q),ECE,ACE,MCE,MCE(Q)
LR,33.6713,56.1188,0.0256,0.0267,0.1539,0.0895
SVM,12.8168,34.5402,0.0177,0.0227,0.2207,0.0465
RF,66.0391,49.4569,0.0635,0.0601,0.2056,0.1616
GB,20.2028,20.4200,0.0295,0.0277,0.1409,0.0891
MLP,60.9703,67.1253,0.0413,0.0397,0.2931,0.1076
