,TCE(P),TCE(Q),ECE,ACE,MCE,MCE(Q)
LR,10.5167,12.0500,0.0025,0.0008,0.1617,0.0042
SVM,11.8667,14.8167,0.0019,0.0017,0.6257,0.0146
RF,26.5000,20.2500,0.0097,0.0033,0.5179,0.0131
GB,25.9500,18.7333,0.0067,0.0029,0.3653,0.0109
MLP,19.9833,9.9833,0.0010,0.0001,0.4550,0.0007
